123456;1;2;3;4;5;1;2;3;4;5;1;2;3;4;5;1;2;3;4;5;1;2;3;4;5;1;2;3;4;5
345678;2;3;4;4;1;2;3;4;5;1;2;3;4;5;1;1;3;4;5;1;2;3;4;5;1;2;3;4;5;1
987654;3;4;5;4;2;3;4;5;1;2;3;4;5;1;2;1;4;5;1;2;3;4;5;1;2;3;4;5;1;2
345213;4;5;1;4;3;4;5;1;2;3;4;5;1;2;3;1;5;1;2;3;4;5;1;2;3;4;5;1;2;3
654378;1;2;4;4;3;1;2;4;5;3;1;2;4;5;3;1;2;4;5;3;1;2;4;5;3;1;2;4;5;3
235671;2;3;4;4;5;2;3;2;5;1;3;4;4;1;5;1;3;4;1;5;2;3;4;1;5;2;3;4;1;5
764389;4;2;5;4;3;4;2;5;1;3;4;2;5;1;3;1;2;5;1;3;4;2;5;1;3;4;2;5;1;3
654899;2;5;1;4;4;2;5;1;3;4;2;5;1;3;4;1;5;1;3;4;2;5;1;3;4;2;5;1;3;4
435677;5;3;1;4;4;5;3;1;2;4;5;3;1;2;4;1;3;1;2;4;5;3;1;2;4;5;3;1;2;4
213421;5;1;3;4;2;5;1;3;4;2;5;1;3;4;2;1;1;3;4;2;5;1;3;4;2;5;1;3;4;2

